Game Name,Cost,Prize,Overall Odds,Game Number,Game Description,Status
Ultimate Riches,$10,"$10 to $200,000",1 in 3.02,810,"Match any of YOUR NUMBERS to any of the WINNING NUMBERS, win PRIZE shown. Get a ""MONEYROLL"" symbol, win PRIZE shown autoamtically. Get a ""10X"" symbol, win 10 TIMES the PRIZE shown!",ACTIVE
$10K Stacks,$10,"$10 to $10,000",1 in 3.02,801,"Match any of YOUR NUMBERS to any of the WINNING NUMBERS, win prize shown. Get a ""STAR"" symbol, win prize shown automatically. Get a ""10X"" symbol, win 10 TIMES the prize shown. Get a ""$10,000 BURST!"" symbol, win $10,000 instantly!",ACTIVE
"$350,000 Payout",$20,"$20 to $350,000",1 in 2.97,802,"Match any of YOUR NUMBERS to any of the WINNING NUMBERS, win prize shown. Get a ""DIAMOND"" symbol, win prize shown automatically. Get a ""10X"" symbol, win 10 TIMES the prize shown! Get a ""$200 BURST!"" symbol, win $200 instantly!",ACTIVE
X50,$5,"$5 to $100,000",1 in 3.84,800,"Match any of YOUR NUMBERS to any of the WINNING NUMBERS, win prize shown. Get a ""10X"" symbol, win 10 TIMES the prize shown. Get a ""20X"" symbol, win 20 TIMES the prize shown. Get a ""50X"" symbol, win 50 TIMES the prize shown!",ACTIVE
Gold Rush,$2,"$2 to $20,000",1 in 4.00,808,"Match any of YOUR NUMBERS to either of the WINNING NUMBERS, win PRIZE shown. Get a ""STACK"" symbol, win PRIZE shown automatically. Get a ""5X"" symbol, win 5 TIMES the PRIZE shown!",ACTIVE
Cash on the Spot,$1,"$1 to $5,000",1 in 4.68,807,"Get 3 like prizes, win that prize. Get 2 like prizes and a ""2X"" symbol, win DOUBLE that prize!",ACTIVE
Jumbo Bucks Bingo,$3,"$3 to $75,000",1 in 3.50,804,"Scratch the CALLER'S CARD to reveal 28 Bingo numbers. Gently scratch all numbers on CARD 1 through CARD 4 that match the numbers on the CALLER'S CARD. On any one one of CARDS 1 through 4, match all numbers in one of the following patterns and win the prize shown beside that CARD. Winning combinations with a ""JUMBO"" symbol in that combination, win 5X the prize won for that CARD.",ACTIVE
Hit $250,$5,$5 to $250,1 in 3.69,809,"Match any of YOUR NUMBERS to any of the WINNING NUMBERS, win PRIZE shown. Get a ""2X"" symbol, win DOUBLE the PRIZE shown. Get a ""5X"" symbol, win 5 TIMES the PRIZE shown automatically. Get a ""$250 BURST"" symbol, win $250 instantly!",ACTIVE
Triple Red 777,$10,"$10 to $200,000",1 in 2.97,806,"Match any of YOUR NUMBERS to any of the WINNING NUMBERS, win prize shown. Get a ""7"" symbol, win prize shown automatically. Get a ""77"" symbol, win DOUBLE the prize shown. Get a ""777"" symbol, win TRIPLE the prize shown!",ACTIVE
X20,$2,"$2 to $20,000",1 in 4.23,799,"Match any of YOUR NUMBERS to either of the WINNING NUMBERS, win prize shown. Get a ""10X"" symbol, win 10 TIMES the prize shown. Get a ""20X"" symbol, win 20 TIMES the prize shown!",ACTIVE
